option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,100.000000,0.200000,0.500000,0.200000,0.300000,log Chebyshev,"d1, degree=7",0.0038675339,0.0037434723,0.0049664399,0.0589491671
call,100.000000,0.200000,0.500000,0.200000,0.300000,log polynomial,"spot, degree=9",0.0042033206,0.0041930146,0.0054337421,0.0286280484
call,100.000000,0.200000,0.500000,0.300000,0.200000,log B-spline,"d1, knots=12",0.0042368816,0.0042113010,0.0026339219,0.0117940317
call,100.000000,0.200000,0.500000,0.300000,0.200000,log Chebyshev,"d1, degree=7",0.0024312248,0.0023206478,0.0049995677,0.0456947372
call,100.000000,0.200000,0.500000,0.300000,0.200000,log polynomial,"spot, degree=9",0.0024108996,0.0023448691,0.0056140170,0.0468474636
call,100.000000,0.200000,0.500000,0.400000,0.100000,log B-spline,"d1, knots=12",0.0017953040,0.0017687441,0.0010627733,0.0044852711
call,100.000000,0.200000,0.500000,0.400000,0.100000,log Chebyshev,"d1, degree=7",0.0025706071,0.0024542650,0.0010767843,0.0039427139
call,100.000000,0.200000,0.500000,0.400000,0.100000,log polynomial,"spot, degree=9",0.0016856240,0.0014426306,0.0051660193,0.0440521257
call,100.000000,0.200000,1.000000,0.200000,0.800000,log B-spline,"d1, knots=12",0.0063724928,0.0062885017,0.0058955292,0.0339306064
call,100.000000,0.200000,1.000000,0.200000,0.800000,log Chebyshev,"d1, degree=7",0.0021061265,0.0021006914,0.0106518716,0.1110193670
call,100.000000,0.200000,1.000000,0.200000,0.800000,log polynomial,"spot, degree=9",0.0018581460,0.0018542515,0.0135087133,0.1276531308
call,100.000000,0.200000,1.000000,0.400000,0.600000,log B-spline,"d1, knots=12",0.0066014026,0.0065480628,0.0054044795,0.0294179193
call,100.000000,0.200000,1.000000,0.400000,0.600000,log Chebyshev,"d1, degree=7",0.0052815730,0.0052628866,0.0123839084,0.0960889030
call,100.000000,0.200000,1.000000,0.400000,0.600000,log polynomial,"spot, degree=9",0.0045997956,0.0045890781,0.0081145455,0.0371661239
call,100.000000,0.200000,1.000000,0.600000,0.400000,log B-spline,"d1, knots=12",0.0042615054,0.0042396483,0.0026382629,0.0152693486
call,100.000000,0.200000,1.000000,0.600000,0.400000,log Chebyshev,"d1, degree=7",0.0026620712,0.0026559325,0.0037896180,0.0606147580
call,100.000000,0.200000,1.000000,0.600000,0.400000,log polynomial,"spot, degree=9",0.0025767850,0.0025726772,0.0037714270,0.0139929465
call,100.000000,0.200000,1.000000,0.800000,0.200000,log B-spline,"d1, knots=12",0.0053389082,0.0052574225,0.0023070241,0.0093389762
call,100.000000,0.200000,1.000000,0.800000,0.200000,log Chebyshev,"d1, degree=7",0.0036079671,0.0033960734,0.0020067821,0.0064824766
call,100.000000,0.200000,1.000000,0.800000,0.200000,log polynomial,"spot, degree=9",0.0033078335,0.0031137816,0.0009090079,0.0055269028
call,100.000000,0.200000,2.000000,0.400000,1.600000,log B-spline,"d1, knots=12",0.0058540576,0.0058067815,0.0122318304,0.1420172599
call,100.000000,0.200000,2.000000,0.400000,1.600000,log Chebyshev,"d1, degree=7",0.0042226240,0.0042180252,0.0122238752,0.1337276267
call,100.000000,0.200000,2.000000,0.400000,1.600000,log polynomial,"spot, degree=9",0.0061655091,0.0061475471,0.0490070198,0.5342292099
call,100.000000,0.200000,2.000000,0.800000,1.200000,log B-spline,"d1, knots=12",0.0053739326,0.0053135741,0.0099257808,0.1175948301
call,100.000000,0.200000,2.000000,0.800000,1.200000,log Chebyshev,"d1, degree=7",0.0029847860,0.0029804412,0.0089986435,0.0497444573
call,100.000000,0.200000,2.000000,0.800000,1.200000,log polynomial,"spot, degree=9",0.0025830514,0.0025793827,0.0213061007,0.1882445783
call,100.000000,0.200000,2.000000,1.200000,0.800000,log B-spline,"d1, knots=12",0.0062007657,0.0060945647,0.0064670957,0.0333732586
call,100.000000,0.200000,2.000000,1.200000,0.800000,log Chebyshev,"d1, degree=7",0.0027509387,0.0027424048,0.0120034803,0.1706134463
call,100.000000,0.200000,2.000000,1.200000,0.800000,log polynomial,"spot, degree=9",0.0025555502,0.0025469023,0.0069940309,0.0727007846
call,100.000000,0.200000,2.000000,1.600000,0.400000,log B-spline,"d1, knots=12",0.0047114835,0.0044969382,0.0043924355,0.0253829311
call,100.000000,0.200000,2.000000,1.600000,0.400000,log Chebyshev,"d1, degree=7",0.0046058297,0.0043178613,0.0078277786,0.0879314055
